19810101
28.6,14.3
29,15.1
29.5,14.4
29.1,15.7
28.9,15.4
30,15.1
28.5,16.2
27.9,16.4
29.5,16.5
29.3,16.5
29.8,16.6
28.2,15.3
28.2,15.5
28.5,15.5
27.8,16.2
29.5,15.7
30.2,15.3
30,15.9
28.9,16.5
28.3,16.4
28.1,15.8
28.5,15.6
28.6,16.3
29.3,15.8
28.5,16
28.5,16.1
28.2,16.4
28.6,16.3
28.7,16.9
28,16.2
28.4,15.8
28.7,16.8
29.2,16.7
28.6,17.1
29,17
28.4,16.7
28.5,16.7
28.6,17
28.7,17
28.4,16.9
29,16.8
29.6,16.6
29.6,15.9
28.6,16.1
28.9,16.4
28.3,16.9
29.7,16.9
29.1,16.9
29.1,17
29.3,17.2
30,16.8
30,17.7
29.3,17.6
29.1,17
29.8,17.5
29.4,17.5
29.5,18.2
30.2,18.4
30.5,18
30.1,16.8
30.3,16.6
30.5,16.3
29.4,16.9
29.5,16.5
29,16.7
29.2,16.8
28.6,16.5
28.3,16.2
28.4,15.9
28.2,16.2
28,16.2
28.6,16.8
28.1,16.1
28.3,15.7
27.8,15.5
27.9,14.1
28.2,14
28,14.4
28.8,13.9
29,14.4
27.4,15.7
28,14.1
28.9,14.7
28.8,14.4
28.6,14.2
29.4,13.1
29.5,11.6
29,12.5
28.8,12.3
29.3,13.8
28.2,13.7
27.4,14.2
27.6,14.1
28.1,14.4
27.2,15.9
26.4,15.4
24.4,16
25.9,14.9
26.3,16
26.9,15.5
25.6,15.5
27,14.6
26.7,13.7
26.9,12.8
26.4,12
26.4,13
26.4,13
27.1,12.9
26.9,12.2
26.3,11.7
27,11.2
26.6,12.3
26.5,12
25.9,10.8
26.3,10.1
26.2,11
25.9,11
26.2,10.5
26.3,11.1
27.2,10.2
24.5,11
23.5,9.7
24.7,9.5
25.5,10.4
26.2,10.4
25.7,11.3
25.4,11.4
24.5,11.3
24.9,10.7
25.6,11.2
23.5,11.6
23.1,12.3
24.6,11.8
24.9,10
24.1,8.9
24.5,8.7
25.3,9.7
24.7,8.9
25.1,8.6
26.9,9.8
26.7,12.4
25.7,11.1
25,10.1
25.7,10.2
25.7,10.3
25.2,10.1
25.6,9.3
25.9,9.7
25,9.9
24.4,10
24.2,10.2
22.1,10.2
22.4,8.9
22.8,8.9
22.9,9.2
22.5,9.2
23.8,8.4
24.3,8.6
23.7,7.2
22.3,8.8
22.9,9.1
22.5,9
22.8,8.3
23.4,8.8
24,8.9
23.5,9.6
23.6,9.1
22.7,9.6
22.8,10.4
22.9,10.5
23.7,10.1
22.7,9.7
22.2,8.9
22.5,9.1
23.5,8.2
22.8,8.8
24,8.9
23.3,10.1
23.6,10.1
23,10.3
21.7,9.6
21.8,9.7
23.6,10
23.4,10.2
23.5,10.4
23.1,10
24,9.9
22.8,8.9
22.7,9.9
22.1,8.8
21.9,9.3
21.6,8.4
22.4,8.1
22.4,8.5
22.2,8.4
21.6,9
20.1,8.7
20.9,8.6
21.9,8.3
21.7,8.4
21,8.3
20.1,7.8
21.4,7.7
22.4,9
23.9,9.7
22.7,9.1
23.3,9.5
22.8,8.9
23.4,9.9
23.4,9.7
24.3,9.6
24.9,9.9
23.2,10.8
22.9,10.7
22.6,10.2
21.2,10.1
20.6,10.5
16.8,10.6
18.6,9
20.5,9.6
21.3,10.4
19.8,12.1
18.7,12.4
20.3,12.6
23,11.6
22.4,12.3
20.2,11.9
21.5,10.1
21.9,9
23.2,9.7
22.8,10.6
22,11
20.9,9
20.6,8.8
22.8,8.2
23.1,8.3
23.4,9.6
22.8,9.9
23,10.5
23.3,11.8
22.5,13
19.6,13.3
20.6,13.4
20.2,12
19.1,11.3
18,11
20.1,10.7
22.2,9.9
22.8,9.3
22.6,9.6
22.9,10.3
23.3,10.6
22.4,10.8
23,11.1
20.2,9.1
19.2,7.9
22,7.5
23.9,8.5
24.4,8.4
24.7,9.3
25.3,10.4
23.6,11.2
23.8,11.3
24.2,10.8
23.3,11.7
25.6,12.2
25,12.1
25.7,11.1
24.7,11.3
24,12.1
24,10.6
22.4,10
23.2,12.6
24.6,11
23.3,10.8
23.9,10.5
23.2,10.7
22.8,10.6
23.1,11.3
23.8,11
23.2,11.5
23.4,12.8
25.1,12.4
25.3,11.9
25.9,10.5
26,10.6
25,10.1
26.6,10.5
26.9,11.8
24.5,12.4
25.1,13
26.8,11.8
26.1,11.6
25.2,12.5
25.6,12
25.1,12.2
23.8,13.5
25.2,13.8
25.2,14.6
26.4,13.1
25.2,12.4
24.8,11.5
25.2,11.4
24.2,12
25.1,11.8
25.1,11
26.4,10.4
26,12.7
26.2,13.2
26.1,11.9
25.4,11.7
25.9,11
26.2,11.3
26,11.3
25.7,11.6
25.6,12.9
26.6,13.5
26,13.3
25.3,13.3
25.8,13.1
26.4,12.5
25.8,12.7
25.8,12.3
25.9,12
25.7,11.9
26,12
26,12.3
26.9,13.1
27.5,13.6
26.1,14.6
25.2,13.7
25.9,14.2
24.4,13.7
25.6,12.8
27.9,13.3
28.5,13.1
28.2,15.5
27.8,15.1
28.3,13.7
27.5,12.7
28.9,13.9
29.1,15.2
29.2,15.2
28.9,15.4
29.1,16.2
28.4,15.3
29,14.9
28.8,15.1
28.2,15
27.7,15.5
28.3,15.5
27.9,15.3
28.1,15.3
27.5,15.3
27,14.4
27,13.8
28.3,14.3
28,16.3
27.2,16.1
27.7,16.7
28.2,16.5
28.3,16.9
27.1,16.1
27.1,16.3
26.6,16.1
28.2,16.7
28.1,16
28.4,16
28.1,16.8
28.7,16.7
28.8,16.4
28.6,15.3
27.7,15
29,14.4
28.7,15.8
29.1,16.2
28.9,15.6
29.6,15.6
29.8,15.5
29.1,16
29,16.1
29.1,16.1
28.8,16.6
29,16.8
29.4,17.5
28.5,16.7
28.8,17.2
29.6,16.9
28.2,16.8
28.8,16.1
28.1,16.7
28.3,16.7
29,16.6
28,17.4
29,16.6
29.4,16.9
28.5,17.1
29.3,17.3
29.6,17.8
29.5,17.7
29.3,17.8
29.9,17.3
30,17.6
29.7,17.5
29.8,17.4
30.6,16.5
30.4,15.1
30.1,16.2
30.2,15.5
29.9,15.4
29.5,15.9
29.7,15.3
30.3,15.7
30.2,16.7
29.3,17.1
28.3,16.8
28.6,17
29.2,17.2
29,17.4
29.2,16.2
29.2,15.5
29.5,14.8
30.2,15.4
29,15.3
28.7,14.8
27.7,13.9
27.7,14.8
27,15.7
28.2,14.9
28.6,14.4
29.1,14.6
29,14.1
28.3,13.8
28.1,14.9
27.9,14
28.2,15.3
28.5,15.1
28.4,15.4
28.3,13.9
28.1,14.3
28.9,14.2
28.1,14.8
28.1,15.3
28.6,15.1
28.4,15.1
29.2,15.6
28.5,15.7
28.5,15.7
28.1,14.8
27.8,14.3
28.1,14.5
